i,noise,initial_noise
12,8.11499023437500,0.134521484375000
13,4.23779296875000,0.0679321289062500
14,2.24853515625000,0.0342712402343750
15,1.14147949218750,0.0169982910156250
16,0.597656250000000,0.00845336914062500
17,0.308479309082031,0.00418090820312500
18,0.157484054565430,0.00216484069824219
19,0.0820055007934570,0.00106430053710938
20,0.0423159599304199,0.000541210174560547
21,0.0213184356689453,0.000261783599853516
22,0.0109077692031860,0.000135302543640137
23,0.00558298826217651,0.0000665783882141113
24,0.00282058119773865,0.0000336170196533203
25,0.00150452554225922,0.0000169128179550171
26,0.000751383602619171,8.27014446258545e-6
27,0.000382132828235626,4.19095158576965e-6
28,0.000189727172255516,2.07871198654175e-6
29,0.0000989697873592377,1.02724879980087e-6
30,0.0000516753643751144,5.20143657922745e-7
31,0.0000257333740592003,2.60304659605026e-7
32,0.0000130347907543182,1.28056854009628e-7
33,6.62478851154447e-6,6.40866346657276e-8
34,3.45986336469650e-6,3.24507709592581e-8
35,1.70757994055748e-6,1.61235220730305e-8
36,8.78491846378893e-7,8.20728018879890e-9
37,4.40188159700483e-7,4.06726030632854e-9
38,2.20814399654046e-7,2.08092387765646e-9
39,1.12256202555727e-7,9.98625182546675e-10
40,5.71508280700073e-8,5.08407538291067e-10
41,2.94292021862930e-8,2.55795384873636e-10
42,1.45067815537914e-8,1.27556631923653e-10
43,7.41044914320810e-9,6.39488462184090e-11
44,3.79401399186463e-9,3.23154836223694e-11
45,1.86223303444422e-9,1.60014224093175e-11
46,9.52553591559990e-10,7.87281351222191e-12
47,4.81552575593014e-10,4.00390831600816e-12
48,2.47586839918768e-10,1.97353244857368e-12
49,1.23983490141200e-10,9.82325332188339e-13
50,6.23763263263299e-11,4.99600361081320e-13
51,3.14033243853373e-11,2.44471110022459e-13
52,1.60021995654347e-11,1.24233956455555e-13
53,8.23230372759554e-12,6.35602681597902e-14
54,4.02397559717826e-12,3.13915560212763e-14
55,2.09957051744425e-12,1.55570001325600e-14
56,1.00879721243174e-12,7.91727794435815e-15
57,5.22696469440476e-13,3.86149445752437e-15
58,2.65225341689046e-13,1.95503335742586e-15
59,1.35440270110365e-13,9.83588210878850e-16
60,6.89851821500387e-14,4.80952083714570e-16
61,3.50704708329541e-14,2.43294967505747e-16
62,1.67331426492723e-14,1.19587499625151e-16
63,8.76924401149726e-15,6.09863722023096e-17
64,4.29081141277432e-15,2.97342445804150e-17
65,2.19488598303397e-15,1.50297526160803e-17
66,1.11531199857226e-15,7.69105916106905e-18
67,5.54427109691197e-16,3.81503639443337e-18
68,2.82160227257564e-16,1.90921226311119e-18
69,1.39959489039564e-16,9.49523933872071e-19
70,7.09419739478630e-17,4.67985703358001e-19
71,3.60933444319266e-17,2.42463181151543e-19
72,1.78893358460108e-17,1.19008129089229e-19
73,9.01084237200965e-18,5.86040920381569e-20
74,4.58784807968451e-18,2.92226366802734e-20
75,2.37699944312218e-18,1.49686603647596e-20
76,1.17405383934346e-18,7.33874639457046e-21
77,5.73070728376738e-19,3.79179592794308e-21
78,2.92697859751889e-19,1.86942818436984e-21
79,1.48265507355230e-19,9.17343299321308e-22
